,,,,,,,,
"Department of Insurance, Securities and Banking",,,,,,,,
Banks with Ward Location,,,,,,,,
,,,,,,,,
Name,Address,City,Zip,Ward,,,,
"Citibank, National Association","1101 Pennsylvania Ave, NW, 9th Floor",Washington,20004,2,,,,
"Citibank, National Association","1901 Wisconsin Ave., NW",Washington,20007,3,,,,
"Citibank, National Association","1400 G Street, NW",Washington,20005,2,,,,
"Citibank, National Association","5700 Connecticut Avenue, NW",Washington,20015,3,,,,
"Citibank, National Association","1000 Connecticut Avenue, NW",Washington,20036,2,,,,
"Citibank, National Association","5250 Macarthur Boulevard, NW",Washington,20016,3,,,,
"Citibank, National Association","5001 Wisconsin Avenue, NW",Washington,20016,3,,,,
"Citibank, National Association","1060 Brentwood Road, NE",Washington,20018,5,,,,
"Citibank, National Association","1225 Connecticut Avenue, NW",Washington,20036,2,,,,
"Citibank, National Association","1000 Vermont Avenue, NW",Washington,20005,2,,,,
"Citibank, National Association","3917 Minnesota Avenue, NE",Washington,20019,7,,,,
"Citibank, National Association","600 Pennsylvania Avenue, SE",Washington,20015,6,,,,
"Citibank, National Association","1775 Pennsylvania Avenue, NW",Washington,20006,2,,,,
"City First Bank of D.C., National Association","1432 U Street, NW",Washington,20009,1,,,,
Colombo Bank,"1006 E Street, NW",Washington,20004,2,,,,
Colombo Bank,"1660 L Street, NW",Washington,20036,2,,,,
Colombo Bank,"1301 9th Street, NW",Washington,20001,2,,,,
Congressional Bank,2101 K Street Northwest,Washington,20037,2,,,,
E*TRADE Savings Bank,"1850 K Street, NW, Suites A & B",Washington,20006,2,,,,
EagleBank,1044 Wisconsin Avenue NW,Washington,20007,3,,,,
EagleBank,"2001 K Street, NW",Washington,20006,2,,,,
EagleBank,"1228 Connecticut Avenue, NW",Washington,20036,2,,,,
EagleBank,"1425 K Street, NW",Washington,20005,2,,,,
EagleBank,"700 7th Street, NW",Washington,20004,2,,,,
First-Citizens Bank & Trust Company,1717 Pennsylvania Ave,Washington,20006,2,,,,
"HSBC Bank USA, National Association","1130 Connecticut Avenue, NW",Washington,20036,2,,,,
"HSBC Bank USA, National Association","1715 Wisconsin Avenue, NW",Washington,20007,3,,,,
Industrial Bank,"1800 Martin Luther King Jr. Ave, SE",Washington,20020,8,,,,
Industrial Bank,"2000 11th Street, NW",Washington,20001,1,,,,
Industrial Bank,"125 45th Street, NE",Washington,20019,7,,,,
Industrial Bank,"2000 14th Street, NW",Washington,20009,1,,,,
Industrial Bank,"1317 F Street, NW",Washington,20004,2,,,,
Industrial Bank,"4812 Georgia Avenue, NW",Washington,20011,4,,,,
Invesco National Trust Company,575 7th Street Suite 450,Washington,20004,2,,,,
John Marshall Bank,"4315 50th Street, NW",Washington,20016,3,,,,
"JPMorgan Chase Bank, National Association",800 Connecticut Avenue,Washington,20006,2,,,,
Manufacturers and Traders Trust Company,555 12th Street NW,Washington,20004,2,,,,
Manufacturers and Traders Trust Company,"2865 Alabama Avenue, SE",Washington,20020,7,,,,
Manufacturers and Traders Trust Company,"1899 L Street, NW",Washington,20036,2,,,,
Manufacturers and Traders Trust Company,"5630 Connecticut Avenue, NW",Washington,20015,3,,,,
Manufacturers and Traders Trust Company,"2620 Connecticut Avenue, NW",Washington,20008,3,,,,
Manufacturers and Traders Trust Company,"6434 Georgia Avenue, NW",Washington,20012,4,,,,
Manufacturers and Traders Trust Company,"1680 K Street, NW",Washington,20006,2,,,,
